i,l,l1,l2,delta_s
0,0,0,1,0.261052
0,23,23,0,0.261052
1,0,0,1,0.261052
1,1,1,2,0.261052
2,1,1,2,0.261052
2,2,2,3,0.261052
3,2,2,3,0.261052
3,3,3,4,0.261052
4,3,3,4,0.261052
4,4,4,5,0.261052
5,4,4,5,0.261052
5,5,5,6,0.261052
6,5,5,6,0.261052
6,6,6,7,0.261052
7,6,6,7,0.261052
7,7,7,8,0.261052
8,7,7,8,0.261052
8,8,8,9,0.261052
9,8,8,9,0.261052
9,9,9,10,0.261052
10,9,9,10,0.261052
10,10,10,11,0.261052
11,10,10,11,0.261052
11,11,11,12,0.261052
12,11,11,12,0.261052
12,12,12,13,0.261052
13,12,12,13,0.261052
13,13,13,14,0.261052
14,13,13,14,0.261052
14,14,14,15,0.261052
15,14,14,15,0.261052
15,15,15,16,0.261052
16,15,15,16,0.261052
16,16,16,17,0.261052
17,16,16,17,0.261052
17,17,17,18,0.261052
18,17,17,18,0.261052
18,18,18,19,0.261052
19,18,18,19,0.261052
19,19,19,20,0.261052
20,19,19,20,0.261052
20,20,20,21,0.261052
21,20,20,21,0.261052
21,21,21,22,0.261052
22,21,21,22,0.261052
22,22,22,23,0.261052
23,22,22,23,0.261052
23,23,23,0,0.261052
